Compound,Date,Negative,Neutral,Positive,Source,Tweet,Tweets Ago
-0.5994,Tue Mar 20 07:45:08 +0000 2018,0.642,0.358,0.0,@BBCNews,Telford pensioner investigated for Nazi war crimes https://t.co/ceHnNfrU2B,33
-0.4019,Tue Mar 20 07:18:52 +0000 2018,0.69,0.31,0.0,@BBCNews,Man injured in Hackney police shooting https://t.co/Qjac5BRxNC,34
0.4215,Tue Mar 20 06:27:00 +0000 2018,0.763,0.0,0.237,@BBCNews,Child rescued from car in river at Cardigan dies https://t.co/jF7bz4P0o9,35
0.4939,Tue Mar 20 05:39:47 +0000 2018,0.686,0.0,0.314,@BBCNews,Brexit: EU implementation agreement 'betrays' UK fishermen https://t.co/YYCgF6WBCS,36
0.0,Tue Mar 20 03:21:32 +0000 2018,1.0,0.0,0.0,@BBCNews,Police call for 'counter-terrorism citizens' https://t.co/gua6HoRdjK,37
-0.4767,Tue Mar 20 02:22:25 +0000 2018,0.744,0.256,0.0,@BBCNews,Thousands of miles of UK roads in poor condition https://t.co/UmBa42GDLs,38
-0.3182,Tue Mar 20 02:22:23 +0000 2018,0.465,0.318,0.217,@BBCNews,'Sexual misconduct' at disaster aid charity Shelterbox https://t.co/nt5dDeaa77,39
0.0,Tue Mar 20 01:08:55 +0000 2018,1.0,0.0,0.0,@BBCNews,Alfie Dingley's medical cannabis petition to be handed to government https://t.co/LnYFKk1zhW,40
0.5106,Tue Mar 20 01:08:53 +0000 2018,0.769,0.0,0.231,@BBCNews,Class A drugs 'brought in for patients' at Essex mental health trust https://t.co/EFrekdIwoj,41
0.0,Tue Mar 20 01:04:57 +0000 2018,1.0,0.0,0.0,@BBCNews,Under-doctored areas to get new medical schools https://t.co/9r7vkJlS05,42
-0.4019,Tue Mar 20 01:00:40 +0000 2018,0.748,0.252,0.0,@BBCNews,"Working dads lose out in workplace, say MPs https://t.co/12JlFk0ZNY",43
0.0,Tue Mar 20 00:56:27 +0000 2018,1.0,0.0,0.0,@BBCNews,"A third of Easter egg weight can be packaging, Which? says https://t.co/0qz0Dr9l10",44
0.0,Tue Mar 20 00:56:27 +0000 2018,1.0,0.0,0.0,@BBCNews,Prices could fall after Brexit 'if UK abolishes tariffs' https://t.co/hAvcTNgnZw,45
-0.5859,Tue Mar 20 00:51:30 +0000 2018,0.703,0.297,0.0,@BBCNews,Spy poisoning: Corbyn says 'all fingers' point to Russia https://t.co/OO5GVYBBZn,46
-0.4588,Mon Mar 19 22:38:15 +0000 2018,0.833,0.167,0.0,@BBCNews,"Tuesday's Daily Mail
""A cure for disease that robs thousands of sight""

#tomorrowspaperstoday
#bbcpapers
(via… https://t.co/CnQxZoKc5o",47
0.0,Mon Mar 19 22:35:49 +0000 2018,1.0,0.0,0.0,@BBCNews,"Tuesday's Daily Mirror: 
""Ant back in rehab""

#tomorrowspaperstoday
#bbcpapers
(via @BBCHelenaLee) https://t.co/K6Odw6ZYOF",48
0.0,Mon Mar 19 22:34:03 +0000 2018,1.0,0.0,0.0,@BBCNews,"Tuesday's Daily Telegraph: 
""Fishermen 'betrayed' by May's Brexit deal""

#tomorrowspaperstoday
#bbcpapers
(via… https://t.co/tbAN05Sgy9",49
-0.5267,Mon Mar 19 22:26:15 +0000 2018,0.732,0.268,0.0,@BBCNews,"Tuesday's Guardian
""Data firm's executives caught boasting of dirty tricks to swing elections""… https://t.co/thEEQKq8xk",50
0.5023,Mon Mar 19 22:22:03 +0000 2018,0.628,0.129,0.243,@BBCNews,RT @BBCkatyaadler: Green light for transition deal but - to temper excitement - EU #Brexit mantra is: Nothing is agreed until Everything is…,51
0.0,Mon Mar 19 22:15:39 +0000 2018,1.0,0.0,0.0,@BBCNews,"Tuesday's Sun
""Ant off TV.. and back in rehab ""

#tomorrowspaperstoday
#bbcpapers
(via @BBCHelenaLee) https://t.co/Ka460ncTzu",52
-0.7506,Mon Mar 19 22:04:28 +0000 2018,0.738,0.262,0.0,@BBCNews,"""I knew she might be killed.""

Father speaks of daughter's death fighting with all-female Kurdish armed unit in Syr… https://t.co/TSQLMPxgZg",53
-0.5994,Mon Mar 19 22:00:43 +0000 2018,0.642,0.358,0.0,@BBCNews,Commons bullying: Outside figure to head inquiry https://t.co/j6XPOuWVun,54
0.0,Mon Mar 19 21:52:44 +0000 2018,1.0,0.0,0.0,@BBCNews,"Tuesday's Metro
""Brexit breakthrough""

#tomorrowspaperstoday
#bbcpapers
(via @BBCHelenaLee) https://t.co/SGyZN67rFA",55
0.0,Mon Mar 19 21:48:46 +0000 2018,1.0,0.0,0.0,@BBCNews,"Tuesday's i
""Britain takes a big step towards Brexit deal""

#tomorrowspaperstoday
#bbcpapers
(via @BBCHelenaLee) https://t.co/uQlIL6PUSy",56
0.5859,Mon Mar 19 21:45:12 +0000 2018,0.833,0.0,0.167,@BBCNews,RT @BBCScotlandNews: Some amazing footage of the Northern Lights and a mysterious aurora phenomenon dubbed Steve spotted by stargazers in S…,57
0.3612,Mon Mar 19 21:44:38 +0000 2018,0.643,0.135,0.222,@BBCNews,"Tuesday's Daily Express 
""Miracle cure for sight loss""

#tomorrowspaperstoday
#bbcpapers
(via @BBCHelenaLee) https://t.co/QoXhdLgg7d",58
0.0,Mon Mar 19 21:07:58 +0000 2018,1.0,0.0,0.0,@BBCNews,"RT @BBCOne: They've finally quacked the case.

https://t.co/eq4dLcauhe",59
